time,x,y,speed(km/h),accel(m/s^2),steer,throttle,brake,collision_intensity
0.0,211.31,-307.88,0.0,0.0,0.0,0.0,0.0,0
0.11,211.31,-307.88,0.01,0.09,0.0,0.85,0.0,0
0.22,211.31,-307.88,0.01,-0.02,0.0,0.85,0.0,0
0.32,211.31,-307.88,0.0,-0.04,0.0,0.85,0.0,0
0.44,211.31,-307.88,0.0,-0.02,0.0,0.85,0.0,0
0.54,211.31,-307.88,0.0,0.0,0.0,0.85,0.0,0
0.65,211.31,-307.88,0.0,0.0,0.0,0.85,0.0,0
0.76,211.37,-307.88,3.38,33.79,-0.0,0.85,0.0,0
0.87,211.5,-307.88,4.56,11.81,-0.0,0.85,0.0,0
0.98,211.64,-307.88,5.21,6.53,0.0,0.85,0.0,0
1.09,211.81,-307.87,6.26,10.5,0.0,0.85,0.0,0
1.2,212.02,-307.87,7.16,8.97,0.0,0.85,0.0,0
1.31,212.27,-307.87,8.18,10.18,0.0,0.85,0.0,0
1.42,212.52,-307.87,8.99,8.15,0.0,0.85,0.0,0
1.53,212.81,-307.86,9.79,8.0,0.0,0.85,0.0,0
1.64,213.12,-307.86,10.59,7.96,0.0,0.85,0.0,0
1.75,213.46,-307.86,11.47,8.79,0.0,0.85,0.0,0
1.86,213.81,-307.85,12.37,9.07,0.0,0.85,0.0,0
1.97,214.2,-307.85,13.35,9.74,0.0,0.85,0.0,0
2.08,214.63,-307.85,14.44,10.91,0.0,0.85,0.0,0
2.19,215.1,-307.84,15.62,11.84,0.0,0.85,0.0,0
2.3,215.58,-307.84,16.8,11.73,0.0,0.85,0.0,0
2.41,216.11,-307.83,18.01,12.12,0.0,0.85,0.0,0
2.52,216.69,-307.82,19.18,11.69,-0.0,0.85,0.0,0
2.63,217.27,-307.82,20.3,11.22,0.0,0.85,0.0,0
2.74,217.92,-307.81,21.48,11.76,0.0,0.85,0.0,0
2.85,218.57,-307.8,21.77,2.98,-0.0,0.85,0.0,0
2.96,219.27,-307.8,24.1,23.28,0.0,0.85,0.0,0
3.07,220.05,-307.79,26.24,21.42,-0.0,0.85,0.0,0
3.18,220.89,-307.78,27.77,15.23,0.0,0.85,0.0,0
3.29,221.77,-307.77,28.95,11.83,0.0,0.52,0.0,0
3.4,222.64,-307.76,29.39,4.37,0.0,0.09,0.0,0
3.51,223.51,-307.75,28.96,-4.24,0.0,0.02,0.0,0
3.61,224.4,-307.75,28.1,-8.59,0.0,0.15,0.0,0
3.73,225.25,-307.74,27.29,-8.11,0.0,0.33,0.0,0
3.84,226.06,-307.73,26.75,-5.45,0.0,0.42,0.0,0
3.95,226.88,-307.72,26.39,-3.53,0.0,0.42,0.0,0
